Section,Required object,Search terms used,Source,Exact category,Asset ID/path,Static/articulated,Visual quality,Collision quality,Required modification,Recommended action,Confidence
MAINTENANCE ROOM,Tool cabinet,"tool cabinet, tool cabinets",ArtVIP,household_items,household_items/model_drawer_kit_10,Articulated SDF,A small red 5-drawer steel tool chest for workshop storage.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
MAINTENANCE ROOM,Toolbox,"toolbox, toolboxs",ArtVIP,household_items,household_items/model_clamshell _tool_box_2,Articulated SDF,"A red, blow-moulded plastic clamshell tool box with a carry handle and two latches.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
MAINTENANCE ROOM,Wall-mounted tools,"wall mounted tools, wall mounted tool",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
MAINTENANCE ROOM,Tool rack,"tool rack, tool racks",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
MAINTENANCE ROOM,Vice,"vice, vices",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
MAINTENANCE ROOM,Spare machine parts,"spare machine parts, spare machine part",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
MAINTENANCE ROOM,Air compressor,"air compressor, air compressors",ObjectThor,large_objects,2f45d519fc934e1bab5c9234fa33e6bf,Static ObjectThor payload,This is an air compressor to assist other tools.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
MAINTENANCE ROOM,Utility cart,"utility cart, utility carts, trolley, service cart",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
MAINTENANCE ROOM,Metal storage shelf,"metal storage shelf, metal storage shelfs",ObjectThor,large_objects,f090d4b341d749af8d74ac317e9d4b66,Static ObjectThor payload,A black metal shelf with five levels on it.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
MAINTENANCE ROOM,Maintenance computer,"maintenance computer, maintenance computers",ObjectThor,small_objects,55159e2d2e2a4df7bb8bf5d82a41ec74,Static ObjectThor payload,A brown wooden office desk with a name plate on it and a pencil.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
OFFICE AND MEETING AREA,Office desk,"office desk, office desks",ObjectThor,small_objects,55159e2d2e2a4df7bb8bf5d82a41ec74,Static ObjectThor payload,A brown wooden office desk with a name plate on it and a pencil.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
OFFICE AND MEETING AREA,Office chair,"office chair, office chairs",ArtVIP,small_furniture,small_furniture/model_office_chair_3,Articulated SDF,"A modern black ergonomic office chair with mesh back, adjustable arms and a five-star wheeled base.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
OFFICE AND MEETING AREA,Computer,"computer, computers",ObjectThor,small_objects,b6d8a40632814a91bc9ce62bf8a5e100,Static ObjectThor payload,A white desktop computer monitor.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
OFFICE AND MEETING AREA,Monitor,"monitor, monitors",ObjectThor,wall_objects,ffabd7274fb344f2b04fed8eeafac8c1,Static ObjectThor payload,Flat screen computer monitor with landscape home screen.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
OFFICE AND MEETING AREA,Printer,"printer, printers",ObjectThor,small_objects,be0a8f15f9624d11bd424ced2a60d714,Static ObjectThor payload,A grey computer printer with paper in it.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
OFFICE AND MEETING AREA,Filing cabinet,"filing cabinet, filing cabinets",ArtVIP,small_furniture,small_furniture/model_chest_of_drawers_3,Articulated SDF,A small three-drawer office filing pedestal on casters with grey steel sides and wood-veneer drawer fronts.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
OFFICE AND MEETING AREA,Storage cabinet,"storage cabinet, storage cabinets",Artiverse,armoire,artiverse/armoire/3dfModel/ab16f4ce-dc13-4694-bb5b-288c850a12aa,Articulated SDF,Articulated armoire with functional doors or drawers,Publisher-bound collision (3–32 elems dataset-wide),Resize/material check,D — available only as articulated asset,High
OFFICE AND MEETING AREA,Meeting table,"meeting table, meeting tables",ArtVIP,small_furniture,small_furniture/model_table_6,Articulated SDF,"A rectangular sit-stand office desk with a light gray top, two telescoping metal legs, wide foot plates, and a small push-button control pad under the front edge.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
OFFICE AND MEETING AREA,Meeting chair,"meeting chair, meeting chairs",ArtVIP,small_furniture,small_furniture/model_office_chair_3,Articulated SDF,"A modern black ergonomic office chair with mesh back, adjustable arms and a five-star wheeled base.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
OFFICE AND MEETING AREA,Bookshelf,"bookshelf, bookshelfs",Artiverse,bookcase,artiverse/bookcase/3dfModel/4c57d811-0177-4d2b-9a18-369efb8ae234,Articulated SDF,Articulated bookcase with functional doors or drawers,Publisher-bound collision (3–32 elems dataset-wide),Resize/material check,D — available only as articulated asset,High
OFFICE AND MEETING AREA,Notice board,"notice board, notice boards, bulletin board",ObjectThor,wall_objects,a1730cbc16c54c2580ef398e67f2857f,Static ObjectThor payload,A bulletin board with lots of photos and pictures on it.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
OFFICE AND MEETING AREA,Wall clock,"wall clock, wall clocks",ObjectThor,wall_objects,f0b7ce9f3d154a6ab43b1622f8de21d2,Static ObjectThor payload,A blue wall clock.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
OFFICE AND MEETING AREA,Indoor plant,"indoor plant, indoor plants",ObjectThor,small_objects,f7efd5f33a5b47f98e11205dd13dbf52,Static ObjectThor payload,A potted plant with big yellow leaves.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STAFF CHANGING ROOM,Locker,"locker, lockers",ArtVIP,small_furniture,small_furniture/model_double_door_2,Articulated SDF,A tall floor-standing steel storage cabinet with two pairs of hinged doors and internal shelves.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF CHANGING ROOM,Industrial locker,"industrial locker, industrial lockers",ArtVIP,small_furniture,small_furniture/model_double_door_2,Articulated SDF,A tall floor-standing steel storage cabinet with two pairs of hinged doors and internal shelves.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF CHANGING ROOM,Changing-room bench,"changing room bench, changing room benchs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STAFF CHANGING ROOM,Coat hook,"coat hook, coat hooks",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
STAFF CHANGING ROOM,Shoe rack,"shoe rack, shoe racks",ArtVIP,small_furniture,small_furniture/model_shoe_cabinet_1,Articulated SDF,"A medium-height wooden shoe cabinet with two slatted front doors, interior shelves and four tapered legs.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF CHANGING ROOM,PPE cabinet,"ppe cabinet, ppe cabinets",Artiverse,armoire,artiverse/armoire/3dfModel/ab16f4ce-dc13-4694-bb5b-288c850a12aa,Articulated SDF,Articulated armoire with functional doors or drawers,Publisher-bound collision (3–32 elems dataset-wide),Resize/material check,D — available only as articulated asset,High
STAFF CHANGING ROOM,Helmet,"helmet, helmets",None,-,-,-,Not audited as essential,N/A,Omit from minimum build,I — unnecessary for minimum factory,High
STAFF CHANGING ROOM,Safety vest,"safety vest, safety vests",None,-,-,-,Not audited as essential,N/A,Omit from minimum build,I — unnecessary for minimum factory,High
STAFF CHANGING ROOM,Protective clothing,"protective clothing, protective clothings",None,-,-,-,Not audited as essential,N/A,Omit from minimum build,I — unnecessary for minimum factory,High
STAFF BREAK ROOM,Dining table,"dining table, dining tables",ArtVIP,small_furniture,small_furniture/model_table_6,Articulated SDF,"A rectangular sit-stand office desk with a light gray top, two telescoping metal legs, wide foot plates, and a small push-button control pad under the front edge.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF BREAK ROOM,Round table,"round table, round tables",ArtVIP,small_furniture,small_furniture/model_table_6,Articulated SDF,"A rectangular sit-stand office desk with a light gray top, two telescoping metal legs, wide foot plates, and a small push-button control pad under the front edge.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF BREAK ROOM,Dining chair,"dining chair, dining chairs",ObjectThor,large_objects,f0cbf330123c472a9550d2ac30cc9ca8,Static ObjectThor payload,A red wood dining chair.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STAFF BREAK ROOM,Refrigerator,"refrigerator, refrigerators",ArtVIP,major_appliances,major_appliances/model_refrigerator_6,Articulated SDF,"A full-size, stainless-steel side-by-side refrigerator with two tall doors, a front ice-and-water dispenser, interior drawers, and wire shelves.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF BREAK ROOM,Microwave,"microwave, microwaves",ArtVIP,small_appliances,small_appliances/model_microwave_3,Articulated SDF,"A medium-size black and silver countertop microwave oven with a front glass door, control panel, and internal glass turntable.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF BREAK ROOM,Kitchen counter,"kitchen counter, kitchen counters",ArtVIP,large_furniture,large_furniture/model_cupboard_1,Articulated SDF,"A large L-shaped kitchen base unit with countertop, sink, faucet, oven and a matching row of overhead wall cabinets with many doors and panels.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF BREAK ROOM,Kitchen cabinet,"kitchen cabinet, kitchen cabinets",ArtVIP,large_furniture,large_furniture/model_cupboard_1,Articulated SDF,"A large L-shaped kitchen base unit with countertop, sink, faucet, oven and a matching row of overhead wall cabinets with many doors and panels.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF BREAK ROOM,Sink,"sink, sinks",ObjectThor,small_objects,7f1d0ea46bf74cf7bfd751ba3d75673a,Static ObjectThor payload,A stainless steel sink among dark cabinets and a tan countertop with towels hanging nearby.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STAFF BREAK ROOM,Water dispenser,"water dispenser, water dispensers",ArtVIP,major_appliances,major_appliances/model_water_dispenser_5,Articulated SDF,A floor-standing plastic water-cooler with a large 19 L blue water bottle and two hot/cold taps on the front.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF BREAK ROOM,Waste bin,"waste bin, waste bins, trash bin, garbage can",ArtVIP,household_items,household_items/model_stepping_dustbin_9,Articulated SDF,A small rectangular stainless-steel step trash bin with a hinged lid and front foot pedal.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
STAFF BREAK ROOM,Notice board,"notice board, notice boards, bulletin board",ObjectThor,wall_objects,a1730cbc16c54c2580ef398e67f2857f,Static ObjectThor payload,A bulletin board with lots of photos and pictures on it.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
STAFF BREAK ROOM,Indoor plant,"indoor plant, indoor plants",ObjectThor,small_objects,f7efd5f33a5b47f98e11205dd13dbf52,Static ObjectThor payload,A potted plant with big yellow leaves.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
TOILETS,Toilet,"toilet, toilets",ArtVIP,major_appliances,major_appliances/model_closestool_4,Articulated SDF,"A floor-mounted household toilet with a cistern, plastic seat, lid and a small flush button.",SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
TOILETS,Urinal,"urinal, urinals",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
TOILETS,Sink,"sink, sinks",ObjectThor,small_objects,7f1d0ea46bf74cf7bfd751ba3d75673a,Static ObjectThor payload,A stainless steel sink among dark cabinets and a tan countertop with towels hanging nearby.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
TOILETS,Mirror,"mirror, mirrors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
TOILETS,Toilet cubicle,"toilet cubicle, toilet cubicles",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
TOILETS,Privacy partition,"privacy partition, privacy partitions",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
TOILETS,Soap dispenser,"soap dispenser, soap dispensers",ObjectThor,wall_objects,c80cffde43b44abc866aec6bb8186fda,Static ObjectThor payload,A hand soap dispenser for a wall.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
TOILETS,Hand dryer,"hand dryer, hand dryers",ObjectThor,wall_objects,f5573521c38d4a43a94149260e1be5f9,Static ObjectThor payload,A hand dryer for a bathroom.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
TOILETS,Paper-towel dispenser,"paper towel dispenser, paper towel dispensers",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
TOILETS,Waste bin,"waste bin, waste bins, trash bin, garbage can",ArtVIP,household_items,household_items/model_stepping_dustbin_9,Articulated SDF,A small rectangular stainless-steel step trash bin with a hinged lid and front foot pedal.,SDF collision present; verify selected link geometry,Resize/material check,D — available only as articulated asset,High
SAFETY EQUIPMENT,Fire extinguisher,"fire extinguisher, fire extinguishers",ObjectThor,wall_objects,3b38813c391d4d3f948076123eb97eca,Static ObjectThor payload,Red metal fire extinguisher inside of a red case with a glass window placed on a wood plank.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
SAFETY EQUIPMENT,First-aid cabinet,"first aid cabinet, first aid cabinets",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
SAFETY EQUIPMENT,Emergency-stop button,"emergency stop button, emergency stop buttons",Existing parts + primitives,modular composition,multiple,Static assembly,Adequate when composed,Analytic/CoACD per component,Assemble and validate dimensions,G — combine existing assets/primitives,Medium
SAFETY EQUIPMENT,Safety railing,"safety railing, safety railings, guard rail, handrail",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Safety barrier,"safety barrier, safety barriers",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Bollard,"bollard, bollards",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Warning sign,"warning sign, warning signs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Hygiene sign,"hygiene sign, hygiene signs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Exit sign,"exit sign, exit signs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Floor marking,"floor marking, floor markings",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Non-slip mat,"non slip mat, non slip mats",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,PPE storage,"ppe storage, ppe storages",Artiverse,armoire,artiverse/armoire/3dfModel/ab16f4ce-dc13-4694-bb5b-288c850a12aa,Articulated SDF,Articulated armoire with functional doors or drawers,Publisher-bound collision (3–32 elems dataset-wide),Resize/material check,D — available only as articulated asset,High
EXTERIOR OBJECTS,Box truck,"box truck, box trucks",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
EXTERIOR OBJECTS,Delivery truck,"delivery truck, delivery trucks",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
EXTERIOR OBJECTS,Loading ramp,"loading ramp, loading ramps",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Dock canopy,"dock canopy, dock canopys",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Exterior light,"exterior light, exterior lights",ObjectThor,wall_objects,a1585e9d534d42d78d12d56e71aa15ed,Static ObjectThor payload,A wall light with a wood base.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
EXTERIOR OBJECTS,Concrete planter,"concrete planter, concrete planters",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Shrub,"shrub, shrubs",None,-,-,-,Not audited as essential,N/A,Omit from minimum build,I — unnecessary for minimum factory,High
EXTERIOR OBJECTS,Flower bed,"flower bed, flower beds",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Small tree,"small tree, small trees",None,-,-,-,Not audited as essential,N/A,Omit from minimum build,I — unnecessary for minimum factory,High
EXTERIOR OBJECTS,Grass,"grass, gras",None,-,-,-,Not audited as essential,N/A,Omit from minimum build,I — unnecessary for minimum factory,High
EXTERIOR OBJECTS,Bench,"bench, benchs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Wheel stop,"wheel stop, wheel stops",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
